|phish_id|url|phish_detail_url|submission_time|verified|verification_time|online|target
0|6514946|http://confirmprofileaccount.com/|http://www.phishtank.com/phish_detail.php?phish_id=6514946|2020-04-19T11:06:55+00:00|yes|2020-04-19T13:42:41+00:00|yes|Other
1|4927651|http://www.marreme.com/MasterAdmin/04mop.html|http://www.phishtank.com/phish_detail.php?phish_id=4927651|2017-04-04T19:35:54+00:00|yes|2017-05-03T23:00:42+00:00|yes|Other
2|5116976|http://modsecpaststudents.com/review/|http://www.phishtank.com/phish_detail.php?phish_id=5116976|2017-07-25T18:48:30+00:00|yes|2017-07-28T16:01:36+00:00|yes|Other
3|6356131|https://docs.google.com/forms/d/e/1FAIpQLScL6L9TaPWaz0nJqHOBCupc-iHfQPWYVeKqZdHklbfgiVTy_Q/viewform|http://www.phishtank.com/phish_detail.php?phish_id=6356131|2020-01-13T20:13:37+00:00|yes|2020-01-17T01:55:38+00:00|yes|Other
4|6535965|https://oportunidadedasemana.com/americanas//?samsung-un50nu7100-tv-led-50-smart-tv-4k-uhd-3hdmi-2usb-preto-nas-americanas&amp;skullid=195433942&amp;cart=MTk1NDMzOTQy|http://www.phishtank.com/phish_detail.php?phish_id=6535965|2020-04-29T00:01:03+00:00|yes|2020-05-01T10:55:35+00:00|yes|Other
5|6325086|https://villashippingtradingpv-my.sharepoint.com/personal/vam_station_flyme_mv/_layouts/15/guestaccess.aspx?guestaccesstoken=SM5QC7f1yqReaI4g9DT2aPYu7luYAyPPMBtOrhDBKbc%3d&amp;docid=1_10c3ef135ace74ea6afaed6ad75fab3bc&amp;wdFormId=%7B9A841E3B%2D98C8%2D48BF%2DBDD0%2DF64979E54640%7D|http://www.phishtank.com/phish_detail.php?phish_id=6325086|2019-12-18T06:59:36+00:00|yes|2020-01-09T01:21:04+00:00|yes|Other
6|6501854|https://www.ikonikcommercialgroup.com/wp-includes/ID3/783498274001/sc0/adapter2adapter.ping.html|http://www.phishtank.com/phish_detail.php?phish_id=6501854|2020-04-13T02:06:17+00:00|yes|2020-04-13T02:16:33+00:00|yes|Other
7|6498433|https://fareast.qa/wp/onedrive/7a0f492752e89cdbc505ab0148975f3e|http://www.phishtank.com/phish_detail.php?phish_id=6498433|2020-04-10T18:01:13+00:00|yes|2020-04-10T18:02:41+00:00|yes|Other
8|6524602|https://kassa.click/b/25si|http://www.phishtank.com/phish_detail.php?phish_id=6524602|2020-04-23T16:59:06+00:00|yes|2020-05-03T21:11:10+00:00|yes|Other
9|6508806|https://storage.googleapis.com/online-webmail-portal.appspot.com/%2525%2525%2525%2525%2525/login.html#admin@example.com|http://www.phishtank.com/phish_detail.php?phish_id=6508806|2020-04-16T06:54:29+00:00|yes|2020-04-17T13:36:54+00:00|yes|Microsoft
10|6546445|http://www.decifra.com.br/at&amp;t-mail/ATT/d3be5b68a37ece4ea8abd954389f3717|http://www.phishtank.com/phish_detail.php?phish_id=6546445|2020-05-04T16:11:50+00:00|yes|2020-05-04T17:14:26+00:00|yes|Other
11|6529100|http://thejobnewsupdate.com/wp-content/plugins/wp-auto-spinner/.settings/steinbeck|http://www.phishtank.com/phish_detail.php?phish_id=6529100|2020-04-26T00:01:46+00:00|yes|2020-04-26T00:05:32+00:00|yes|Other
12|6531071|http://mocktails.co.in/case/|http://www.phishtank.com/phish_detail.php?phish_id=6531071|2020-04-27T02:02:59+00:00|yes|2020-04-27T02:05:49+00:00|yes|Other
13|4832362|http://www.chad-moore.com/content/|http://www.phishtank.com/phish_detail.php?phish_id=4832362|2017-02-21T16:00:14+00:00|yes|2017-03-20T17:36:06+00:00|yes|PayPal
14|6528257|http://thejobnewsupdate.com/wp-content/plugins/wp-auto-spinner/.settings/steinbeck/|http://www.phishtank.com/phish_detail.php?phish_id=6528257|2020-04-25T20:07:40+00:00|yes|2020-04-25T20:14:33+00:00|yes|Other
15|5324085|http://www.stolizaparketa.ru/wp-content/themes/twentyfifteen/css/read/chinavali/index.php?email=abuse@jamer.co.uk|http://www.phishtank.com/phish_detail.php?phish_id=5324085|2017-11-09T14:42:42+00:00|yes|2017-12-02T21:12:48+00:00|yes|Other
16|6107537|http://03418f6.netsolhost.com/FF7AADF203DF6C7A0B7C8A74B8164E55/?sec=Puc%20Kotsis|http://www.phishtank.com/phish_detail.php?phish_id=6107537|2019-07-04T18:56:43+00:00|yes|2019-07-25T11:52:31+00:00|yes|Other
